Clt,Joueur,Nation,Pos,Équipe,Comp,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,xAG,xG+xAG,npxG,npxG+xAG
2345,Leroy Sané,de GER,AT,Bayern Munich,de Bundesliga,27,1996,27,25,2137,23.7,8,11,19,8,0,0,4,0,10.9,10.9,10.8,21.8,121,113,274,0.34,0.46,0.80,0.34,0.80,0.46,0.46,0.92,0.46,0.92
2346,Sadibou Sané,sn SEN,DF,Metz,fr Ligue 1,19,2004,14,9,846,9.4,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,8,19,8,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
2347,Arouna Sangante,sn SEN,DF,Le Havre,fr Ligue 1,21,2002,30,30,2687,29.9,0,0,0,0,0,0,8,0,0.9,0.9,1.2,2.1,20,107,27,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07
2348,Ibrahim Sangaré,ci CIV,MT,Nott'ham Forest,eng Premier League,25,1997,17,13,1035,11.5,0,0,0,0,0,0,6,0,0.6,0.6,0.4,1.0,5,44,7,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09
2349,Morgan Sanson,fr FRA,MT,Nice,fr Ligue 1,28,1994,29,24,1964,21.8,2,3,5,2,0,0,4,0,3.3,3.3,4.0,7.3,57,75,98,0.09,0.14,0.23,0.09,0.23,0.15,0.18,0.33,0.15,0.33
2350,Nicola Sansone,it ITA,"AT,MT",Lecce,it Serie A,31,1991,25,4,767,8.5,2,2,4,2,0,0,4,0,2.8,2.8,1.3,4.1,15,36,75,0.23,0.23,0.47,0.23,0.47,0.33,0.15,0.48,0.33,0.48
2351,Baptiste Santamaria,fr FRA,MT,Rennes,fr Ligue 1,28,1995,30,22,1926,21.4,0,1,1,0,0,0,3,0,1.9,1.9,0.6,2.5,13,134,36,0.00,0.05,0.05,0.00,0.05,0.09,0.03,0.12,0.09,0.12
2352,Jesús Santiago,es ESP,MT,Getafe,es La Liga,19,2004,14,8,656,7.3,1,0,1,1,0,0,4,0,0.6,0.6,0.4,1.0,5,15,12,0.14,0.00,0.14,0.14,0.14,0.08,0.05,0.14,0.08,0.14
2353,Andrey Santos,br BRA,MT,Nott'ham Forest,eng Premier League,19,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.64,0.00,0.64,0.64,0.64
2354,Andrey Santos,br BRA,MT,Strasbourg,fr Ligue 1,19,2004,11,9,831,9.2,1,0,1,1,0,0,4,0,1.0,1.0,1.0,2.0,5,48,15,0.11,0.00,0.11,0.11,0.11,0.11,0.11,0.21,0.11,0.21
2355,Tiago Santos,pt POR,DF,Lille,fr Ligue 1,21,2002,29,26,2365,26.3,1,2,3,1,0,0,6,0,1.4,1.4,2.3,3.6,89,105,137,0.04,0.08,0.11,0.04,0.11,0.05,0.09,0.14,0.05,0.14
2356,Paco Sanz,es ESP,DF,Almería,es La Liga,18,2004,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2357,Riccardo Saponara,it ITA,"AT,MT",Hellas Verona,it Serie A,31,1991,12,3,342,3.8,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,12,14,32,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07
2358,Pablo Sarabia,es ESP,"MT,AT",Wolves,eng Premier League,31,1992,30,20,1745,19.4,4,7,11,2,2,2,5,0,5.5,3.9,5.9,9.8,41,109,137,0.21,0.36,0.57,0.10,0.46,0.28,0.30,0.59,0.20,0.50
2359,Amin Sarr,se SWE,"AT,MT",Lyon,fr Ligue 1,22,2001,3,1,98,1.1,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,3,1,8,0.00,0.00,0.00,0.00,0.00,0.31,0.14,0.45,0.31,0.45
2360,Amin Sarr,se SWE,"AT,MT",Wolfsburg,de Bundesliga,22,2001,14,2,386,4.3,0,0,0,0,0,0,0,0,0.6,0.6,0.2,0.7,3,12,26,0.00,0.00,0.00,0.00,0.00,0.13,0.04,0.17,0.13,0.17
2361,Bouna Sarr,sn SEN,DF,Bayern Munich,de Bundesliga,31,1992,2,1,106,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,2,4,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19
2362,Ismaila Sarr,sn SEN,"AT,MT",Marseille,fr Ligue 1,25,1998,23,15,1447,16.1,3,4,7,3,0,0,1,0,3.2,3.2,2.5,5.7,49,36,152,0.19,0.25,0.44,0.19,0.44,0.20,0.15,0.35,0.20,0.35
2363,Mamadou Sarr,fr FRA,DF,Lyon,fr Ligue 1,17,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2364,Martin Satriano,uy URU,AT,Brest,fr Ligue 1,22,2001,33,21,1864,20.7,4,4,8,4,0,0,4,0,6.1,6.1,2.9,9.0,28,37,121,0.19,0.19,0.39,0.19,0.39,0.29,0.14,0.43,0.29,0.43
2365,Téji Savanier,fr FRA,MT,Montpellier,fr Ligue 1,31,1991,32,32,2765,30.7,9,6,15,2,7,7,8,1,9.1,3.6,6.9,10.5,39,224,108,0.29,0.20,0.49,0.07,0.26,0.29,0.22,0.52,0.12,0.34
2366,Stefan Savić,me MNE,DF,Atlético Madrid,es La Liga,32,1991,23,19,1630,18.1,0,0,0,0,0,0,7,1,0.3,0.3,0.1,0.5,14,66,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
2367,Sávio,br BRA,"AT,MT",Girona,es La Liga,19,2004,37,35,2976,33.1,9,10,19,9,0,0,5,0,6.1,6.1,7.9,14.0,181,93,372,0.27,0.30,0.57,0.27,0.57,0.18,0.24,0.42,0.18,0.42
2368,Zanos Savva,cy CYP,"DF,MT",Torino,it Serie A,17,2005,2,0,28,0.3,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0,1,1,3.21,0.00,3.21,3.21,3.21,0.51,0.00,0.51,0.51,0.51
2369,Saba Sazonov,ge GEO,DF,Torino,it Serie A,21,2002,12,2,356,4.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,0,8,0,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
2370,Joe Scally,us USA,DF,Gladbach,de Bundesliga,20,2002,31,25,2236,24.8,1,4,5,1,0,0,4,0,0.6,0.6,1.4,1.9,39,75,75,0.04,0.16,0.20,0.04,0.20,0.02,0.06,0.08,0.02,0.08
2371,Giorgio Scalvini,it ITA,DF,Atalanta,it Serie A,19,2003,33,31,2544,28.3,1,3,4,1,0,0,3,0,1.4,1.4,1.1,2.5,30,116,33,0.04,0.11,0.14,0.04,0.14,0.05,0.04,0.09,0.05,0.09
2372,Gianluca Scamacca,it ITA,AT,Atalanta,it Serie A,24,1999,29,17,1453,16.1,12,6,18,12,0,0,1,0,6.5,6.5,3.9,10.5,22,41,167,0.74,0.37,1.11,0.74,1.11,0.40,0.24,0.65,0.40,0.65
2373,Dane Scarlett,eng ENG,AT,Tottenham,eng Premier League,19,2004,4,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2374,Kevin Schade,de GER,"AT,MT",Brentford,eng Premier League,21,2001,11,3,333,3.7,2,1,3,2,0,0,0,0,1.2,1.2,0.7,1.9,8,9,23,0.54,0.27,0.81,0.54,0.81,0.32,0.19,0.52,0.32,0.52
2375,András Schäfer,hu HUN,MT,Union Berlin,de Bundesliga,24,1999,20,14,1214,13.5,1,2,3,1,0,0,1,1,1.8,1.8,1.5,3.2,37,59,71,0.07,0.15,0.22,0.07,0.22,0.13,0.11,0.24,0.13,0.24
2376,Fabian Schär,ch SUI,DF,Newcastle Utd,eng Premier League,31,1991,36,35,3054,33.9,4,1,5,4,0,0,5,0,2.5,2.5,0.7,3.3,28,133,20,0.12,0.03,0.15,0.12,0.15,0.07,0.02,0.10,0.07,0.10
2377,Patrik Schick,cz CZE,AT,Leverkusen,de Bundesliga,27,1996,20,12,1063,11.8,7,0,7,6,1,1,1,0,6.0,5.3,1.0,6.2,7,17,88,0.59,0.00,0.59,0.51,0.51,0.51,0.08,0.59,0.44,0.53
2378,Stefan Schimmer,de GER,"MT,AT",Heidenheim,de Bundesliga,29,1994,16,0,153,1.7,0,1,1,0,0,0,0,0,0.6,0.6,0.9,1.5,1,2,12,0.00,0.59,0.59,0.00,0.59,0.34,0.51,0.85,0.34,0.85
2379,Xaver Schlager,at AUT,MT,RB Leipzig,de Bundesliga,25,1997,29,29,2477,27.5,0,5,5,0,0,0,7,0,1.1,1.1,2.6,3.6,73,230,45,0.00,0.18,0.18,0.00,0.18,0.04,0.09,0.13,0.04,0.13
2380,Keven Schlotterbeck,de GER,DF,Bochum,de Bundesliga,26,1997,27,24,2185,24.3,5,1,6,5,0,0,9,0,2.0,2.0,0.6,2.7,9,93,15,0.21,0.04,0.25,0.21,0.25,0.08,0.03,0.11,0.08,0.11
2381,Nico Schlotterbeck,de GER,DF,Dortmund,de Bundesliga,23,1999,33,32,2859,31.8,2,1,3,2,0,0,4,0,3.0,3.0,1.9,4.9,55,186,11,0.06,0.03,0.09,0.06,0.09,0.10,0.06,0.15,0.10,0.15
2382,Jeffrey Schlupp,gh GHA,"AT,MT",Crystal Palace,eng Premier League,30,1992,29,17,1352,15.0,2,2,4,2,0,0,1,0,1.8,1.8,2.3,4.1,20,33,52,0.13,0.13,0.27,0.13,0.27,0.12,0.15,0.27,0.12,0.27
2383,Romano Schmid,at AUT,"MT,AT",Werder Bremen,de Bundesliga,23,2000,33,30,2601,28.9,4,6,10,4,0,0,5,0,5.2,5.2,6.3,11.5,75,144,165,0.14,0.21,0.35,0.14,0.35,0.18,0.22,0.40,0.18,0.40
2384,Kenneth Schmidt,de GER,DF,Freiburg,de Bundesliga,21,2002,5,0,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,4,3,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.12,0.02,0.12
2385,Niklas Schmidt,de GER,MT,Toulouse,fr Ligue 1,25,1998,22,15,1269,14.1,1,1,2,1,0,0,4,0,1.2,1.2,2.4,3.6,20,106,43,0.07,0.07,0.14,0.07,0.14,0.09,0.17,0.26,0.09,0.26
2386,Benno Schmitz,de GER,DF,Köln,de Bundesliga,28,1994,22,13,1155,12.8,0,1,1,0,0,0,5,0,0.2,0.2,0.3,0.5,27,70,47,0.00,0.08,0.08,0.00,0.08,0.02,0.02,0.04,0.02,0.04
2387,Fabian Schnellhardt,de GER,MT,Darmstadt 98,de Bundesliga,29,1994,10,2,235,2.6,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,6,15,9,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.11,0.08,0.11
2388,Jan Schöppner,de GER,MT,Heidenheim,de Bundesliga,24,1999,26,23,1998,22.2,2,2,4,2,0,0,3,0,1.1,1.1,1.5,2.6,16,72,32,0.09,0.09,0.18,0.09,0.18,0.05,0.07,0.12,0.05,0.12
2389,Marcel Schuhen,de GER,GB,Darmstadt 98,de Bundesliga,30,1993,31,31,2790,31.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2390,Perr Schuurs,nl NED,DF,Torino,it Serie A,23,1999,9,9,770,8.6,1,0,1,1,0,0,2,0,0.7,0.7,0.0,0.7,9,19,4,0.12,0.00,0.12,0.12,0.12,0.08,0.00,0.08,0.08,0.08
2391,Marvin Schwäbe,de GER,GB,Köln,de Bundesliga,28,1995,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2392,Alexander Schwolow,de GER,GB,Union Berlin,de Bundesliga,31,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2393,Alex Scott,eng ENG,MT,Bournemouth,eng Premier League,19,2003,23,11,1014,11.3,1,1,2,1,0,0,3,0,0.7,0.7,1.7,2.4,24,50,35,0.09,0.09,0.18,0.09,0.18,0.06,0.15,0.22,0.06,0.22
2394,Simone Scuffet,it ITA,GB,Cagliari,it Serie A,27,1996,31,31,2789,31.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2395,Jérémy Sebas,mq MTQ,"AT,MT",Strasbourg,fr Ligue 1,20,2003,14,2,399,4.4,2,0,2,2,0,0,0,0,1.0,1.0,0.0,1.0,13,6,39,0.45,0.00,0.45,0.45,0.45,0.21,0.01,0.22,0.21,0.22
2396,Demba Seck,sn SEN,MT,Torino,it Serie A,22,2001,9,5,425,4.7,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.5,23,12,25,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,0.07,0.10
2397,Demba Seck,sn SEN,"AT,MT",Frosinone,it Serie A,22,2001,11,3,298,3.3,0,0,0,0,0,0,0,0,1.1,1.1,0.3,1.4,11,9,23,0.00,0.00,0.00,0.00,0.00,0.34,0.10,0.44,0.34,0.44
2398,Aleksandar Sedlar,rs SRB,DF,Alavés,es La Liga,31,1991,11,11,946,10.5,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.3,6,26,1,0.10,0.00,0.10,0.10,0.10,0.03,0.01,0.03,0.03,0.03
2399,Alidu Seidu,gh GHA,DF,Rennes,fr Ligue 1,23,2000,11,7,593,6.6,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,14,23,24,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
2400,Alidu Seidu,gh GHA,DF,Clermont Foot,fr Ligue 1,23,2000,14,13,1131,12.6,0,1,1,0,0,0,5,1,0.1,0.1,0.7,0.7,16,33,3,0.00,0.08,0.08,0.00,0.08,0.01,0.05,0.06,0.01,0.06
2401,Nicolas Seiwald,at AUT,MT,RB Leipzig,de Bundesliga,22,2001,21,6,718,8.0,0,2,2,0,0,0,1,0,0.0,0.0,0.3,0.3,3,33,4,0.00,0.25,0.25,0.00,0.25,0.00,0.04,0.04,0.00,0.04
2402,Nikola Sekulov,it ITA,AT,Juventus,it Serie A,21,2002,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2403,Davie Selke,de GER,AT,Köln,de Bundesliga,28,1995,19,16,1265,14.1,6,0,6,6,0,0,3,0,4.8,4.8,0.4,5.2,9,17,46,0.43,0.00,0.43,0.43,0.43,0.34,0.03,0.37,0.34,0.37
2404,Matz Sels,be BEL,GB,Nott'ham Forest,eng Premier League,31,1992,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2405,Matz Sels,be BEL,GB,Strasbourg,fr Ligue 1,31,1992,19,19,1710,19.0,0,0,0,0,0,0,2,0,0.0,0.0,0.5,0.5,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
2406,Nélson Semedo,pt POR,"DF,MT",Wolves,eng Premier League,29,1993,36,36,3084,34.3,0,1,1,0,0,0,10,1,1.3,1.3,1.7,3.0,103,138,150,0.00,0.03,0.03,0.00,0.03,0.04,0.05,0.09,0.04,0.09
2407,Vivaldo Semedo,pt POR,AT,Udinese,it Serie A,18,2005,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2408,Antoine Semenyo,gh GHA,AT,Bournemouth,eng Premier League,23,2000,33,25,2105,23.4,8,2,10,8,0,0,6,0,4.6,4.6,3.2,7.8,89,64,188,0.34,0.09,0.43,0.34,0.43,0.20,0.14,0.34,0.20,0.34
2409,Marvin Senaya,tg TOG,"DF,MT",Strasbourg,fr Ligue 1,22,2001,32,23,2138,23.8,1,1,2,1,0,0,5,1,1.2,1.2,2.8,4.0,48,74,81,0.04,0.04,0.08,0.04,0.08,0.05,0.12,0.17,0.05,0.17
2410,Marcos Senesi,ar ARG,DF,Bournemouth,eng Premier League,26,1997,31,26,2242,24.9,4,5,9,4,0,0,13,0,2.0,2.0,1.7,3.7,31,127,4,0.16,0.20,0.36,0.16,0.36,0.08,0.07,0.15,0.08,0.15
2411,Stefano Sensi,it ITA,MT,Inter,it Serie A,27,1995,4,0,46,0.5,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,3,3,4,0.00,1.96,1.96,0.00,1.96,0.16,0.25,0.42,0.16,0.42
2412,Suat Serdar,de GER,MT,Hellas Verona,it Serie A,26,1997,25,19,1659,18.4,0,2,2,0,0,0,7,0,1.0,1.0,1.4,2.4,20,68,36,0.00,0.11,0.11,0.00,0.11,0.05,0.07,0.13,0.05,0.13
2413,Benjamin Šeško,si SVN,AT,RB Leipzig,de Bundesliga,20,2003,31,17,1526,17.0,14,2,16,14,0,0,0,0,7.7,7.7,1.1,8.8,21,22,98,0.83,0.12,0.94,0.83,0.94,0.45,0.07,0.52,0.45,0.52
2414,Kevin Sessa,de GER,"MT,AT",Heidenheim,de Bundesliga,23,2000,30,7,1011,11.2,3,0,3,3,0,0,1,0,2.9,2.9,1.3,4.2,29,51,48,0.27,0.00,0.27,0.27,0.27,0.25,0.12,0.37,0.25,0.37
2415,Aaron Seydel,de GER,AT,Darmstadt 98,de Bundesliga,27,1996,16,5,619,6.9,1,0,1,1,0,0,1,0,1.0,1.0,0.7,1.7,7,10,35,0.15,0.00,0.15,0.15,0.15,0.15,0.10,0.25,0.15,0.25
2416,Andres Sfait,ro ROU,"DF,MT",Salernitana,it Serie A,18,2004,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.26,0.00,0.26
2417,Stephan El Shaarawy,it ITA,"AT,DF",Roma,it Serie A,30,1992,33,19,1738,19.3,3,4,7,3,0,0,2,0,2.5,2.5,2.3,4.8,46,44,131,0.16,0.21,0.36,0.16,0.36,0.13,0.12,0.25,0.13,0.25
2418,Luke Shaw,eng ENG,DF,Manchester Utd,eng Premier League,28,1995,12,12,959,10.7,0,0,0,0,0,0,6,0,0.0,0.0,1.0,1.0,10,45,30,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.10,0.00,0.10
2419,James Shea,eng ENG,GB,Luton Town,eng Premier League,32,1991,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2420,Eldor Shomurodov,uz UZB,"AT,MT",Cagliari,it Serie A,28,1995,22,10,936,10.4,3,3,6,3,0,0,1,0,3.5,3.5,1.7,5.2,12,18,52,0.29,0.29,0.58,0.29,0.58,0.34,0.16,0.50,0.34,0.50
2421,Steven Shpendi,al ALB,"AT,MT",Empoli,it Serie A,20,2003,12,4,411,4.6,0,1,1,0,0,0,0,0,0.4,0.4,0.5,0.9,3,6,32,0.00,0.22,0.22,0.00,0.22,0.09,0.10,0.20,0.09,0.20
2422,Sofiane Sidi Ali,fr FRA,MT,Marseille,fr Ligue 1,28,1995,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12
2423,Vincent Sierro,ch SUI,MT,Toulouse,fr Ligue 1,27,1995,30,25,2261,25.1,6,2,8,2,4,5,8,0,5.9,1.9,2.3,4.2,17,135,73,0.24,0.08,0.32,0.08,0.16,0.23,0.09,0.33,0.08,0.17
2424,Tim Siersleben,de GER,DF,Heidenheim,de Bundesliga,23,2000,14,10,910,10.1,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,12,48,1,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07
2425,Kiliann Sildillia,fr FRA,DF,Freiburg,de Bundesliga,21,2002,27,20,1806,20.1,0,1,1,0,0,0,2,1,0.6,0.6,0.8,1.4,22,70,58,0.00,0.05,0.05,0.00,0.05,0.03,0.04,0.07,0.03,0.07
2426,André Silva,pt POR,AT,Real Sociedad,es La Liga,27,1995,19,9,729,8.1,3,0,3,2,1,1,1,0,3.3,2.5,0.3,2.8,5,7,44,0.37,0.00,0.37,0.25,0.25,0.41,0.04,0.45,0.31,0.35
2427,Bernardo Silva,pt POR,"MT,AT",Manchester City,eng Premier League,28,1994,33,29,2578,28.6,6,9,15,6,0,0,8,0,3.7,3.7,7.6,11.3,140,177,260,0.21,0.31,0.52,0.21,0.52,0.13,0.27,0.40,0.13,0.40
2428,Caio Henrique Oliveira Silva,br BRA,DF,Monaco,fr Ligue 1,26,1997,9,7,623,6.9,0,5,5,0,0,0,0,0,0.2,0.2,1.3,1.5,16,33,54,0.00,0.72,0.72,0.00,0.72,0.03,0.18,0.22,0.03,0.22
2429,Fábio Silva,pt POR,AT,Wolves,eng Premier League,21,2002,8,3,264,2.9,0,0,0,0,0,0,2,0,1.0,1.0,0.2,1.2,5,10,13,0.00,0.00,0.00,0.00,0.00,0.35,0.07,0.42,0.35,0.42
2430,Rui Silva,pt POR,GB,Betis,es La Liga,29,1994,28,28,2475,27.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2431,Thiago Silva,br BRA,DF,Chelsea,eng Premier League,38,1984,31,28,2527,28.1,3,1,4,3,0,0,4,0,0.8,0.8,1.0,1.8,2,102,5,0.11,0.04,0.14,0.11,0.14,0.03,0.04,0.06,0.03,0.06
2432,Marco Silvestri,it ITA,GB,Udinese,it Serie A,32,1991,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2433,Mohamed Simakan,fr FRA,DF,RB Leipzig,de Bundesliga,23,2000,32,23,2138,23.8,2,3,5,2,0,0,8,0,3.9,3.9,3.3,7.2,34,106,76,0.08,0.13,0.21,0.08,0.21,0.16,0.14,0.30,0.16,0.30
2434,Giovanni Simeone,ar ARG,AT,Napoli,it Serie A,28,1995,28,8,800,8.9,1,0,1,1,0,0,3,0,3.4,3.4,0.6,3.9,11,13,76,0.11,0.00,0.11,0.11,0.11,0.38,0.06,0.44,0.38,0.44
2435,Giuliano Simeone,ar ARG,AT,Alavés,es La Liga,20,2002,14,6,630,7.0,1,2,3,1,0,1,1,0,2.4,1.6,2.0,3.6,25,24,47,0.14,0.29,0.43,0.14,0.43,0.34,0.29,0.63,0.23,0.52
2436,Jan-Carlo Simic,rs SRB,DF,Milan,it Serie A,18,2005,4,0,146,1.6,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.6,0,6,0,0.62,0.00,0.62,0.62,0.62,0.38,0.00,0.38,0.38,0.38
2437,Moses Simon,ng NGA,"AT,MT",Nantes,fr Ligue 1,28,1995,22,21,1788,19.9,3,5,8,2,1,1,0,0,4.1,3.3,3.7,7.0,146,36,214,0.15,0.25,0.40,0.10,0.35,0.21,0.18,0.39,0.17,0.35
2438,Unai Simón,es ESP,GB,Athletic Club,es La Liga,26,1997,36,36,3182,35.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2439,Xavi Simons,nl NED,MT,RB Leipzig,de Bundesliga,20,2003,32,32,2653,29.5,8,11,19,7,1,2,11,1,8.3,6.7,9.8,16.4,151,187,216,0.27,0.37,0.64,0.24,0.61,0.28,0.33,0.61,0.23,0.56
2440,Wilfried Singo,ci CIV,DF,Monaco,fr Ligue 1,22,2000,25,24,2187,24.3,1,1,2,1,0,0,8,1,0.8,0.8,1.0,1.9,38,145,31,0.04,0.04,0.08,0.04,0.08,0.03,0.04,0.08,0.03,0.08
2441,Luis Sinisterra,co COL,"AT,MT",Bournemouth,eng Premier League,24,1999,20,7,699,7.8,2,2,4,2,0,0,0,0,2.5,2.5,2.4,5.0,51,38,85,0.26,0.26,0.52,0.26,0.52,0.33,0.31,0.64,0.33,0.64
2442,Daley Sinkgraven,nl NED,DF,Las Palmas,es La Liga,28,1995,10,6,374,4.2,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,3,17,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2443,Jailson Siqueira,br BRA,"DF,MT",Celta Vigo,es La Liga,27,1995,14,9,897,10.0,0,1,1,0,0,0,1,0,0.2,0.2,0.5,0.7,16,38,8,0.00,0.10,0.10,0.00,0.10,0.02,0.05,0.07,0.02,0.07
2444,Ayanda Sishuba,be BEL,"MT,AT",Lens,fr Ligue 1,18,2005,7,0,62,0.7,0,0,0,0,0,0,0,0,0.9,0.9,0.0,0.9,7,1,10,0.00,0.00,0.00,0.00,0.00,1.27,0.04,1.31,1.27,1.31
2445,Ibrahima Sissoko,ml MLI,MT,Strasbourg,fr Ligue 1,25,1997,27,18,1642,18.2,0,1,1,0,0,0,7,0,1.0,1.0,1.7,2.6,15,88,18,0.00,0.05,0.05,0.00,0.05,0.05,0.09,0.14,0.05,0.14
2446,Moussa Sissoko,fr FRA,MT,Nantes,fr Ligue 1,33,1989,26,21,1821,20.2,0,0,0,0,0,0,7,0,1.3,1.3,1.1,2.3,30,74,59,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.12,0.06,0.12
2447,Antonio Sivera,es ESP,GB,Alavés,es La Liga,26,1996,34,34,3060,34.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2448,Tim Skarke,de GER,"AT,DF",Darmstadt 98,de Bundesliga,26,1996,30,29,2404,26.7,8,0,8,8,0,0,7,0,3.6,3.6,2.1,5.7,61,80,190,0.30,0.00,0.30,0.30,0.30,0.13,0.08,0.21,0.13,0.21
2449,Ellyes Skhiri,tn TUN,MT,Eint Frankfurt,de Bundesliga,28,1995,27,24,2168,24.1,2,2,4,2,0,0,1,0,2.3,2.3,1.0,3.3,10,110,28,0.08,0.08,0.17,0.08,0.17,0.10,0.04,0.14,0.10,0.14
2450,Oliver Skipp,eng ENG,"MT,DF",Tottenham,eng Premier League,22,2000,21,5,707,7.9,0,0,0,0,0,0,3,0,0.7,0.7,0.6,1.3,8,37,25,0.00,0.00,0.00,0.00,0.00,0.09,0.07,0.16,0.09,0.16
2451,Leo Skiri Østigård,no NOR,DF,Napoli,it Serie A,23,1999,25,18,1625,18.1,1,0,1,1,0,0,3,0,0.6,0.6,0.1,0.7,13,76,3,0.06,0.00,0.06,0.06,0.06,0.03,0.00,0.04,0.03,0.04
